"","departamento","anio","proy"
"1","NORTE DE SANTANDER",2010,1297951
"2","NORTE DE SANTANDER",2011,1309265
"3","NORTE DE SANTANDER",2012,1320777
"4","NORTE DE SANTANDER",2013,1332378
"5","NORTE DE SANTANDER",2014,1344038
"6","CALDAS",2010,978342
"7","CALDAS",2011,980267
"8","CALDAS",2012,982207
"9","CALDAS",2013,984115
"10","CALDAS",2014,986042
"11","CORDOBA",2010,1582784
"12","CORDOBA",2011,1607519
"13","CORDOBA",2012,1632637
"14","CORDOBA",2013,1658067
"15","CORDOBA",2014,1683782
"16","PUTUMAYO",2010,326093
"17","PUTUMAYO",2011,329598
"18","PUTUMAYO",2012,333247
"19","PUTUMAYO",2013,337054
"20","PUTUMAYO",2014,341034
"21","VAUPES",2010,41534
"22","VAUPES",2011,41965
"23","VAUPES",2012,42392
"24","VAUPES",2013,42817
"25","VAUPES",2014,43240
"26","BOGOTA D.C.",2010,7363782
"27","BOGOTA D.C.",2011,7467804
"28","BOGOTA D.C.",2012,7571345
"29","BOGOTA D.C.",2013,7674366
"30","BOGOTA D.C.",2014,7776845
"31","NARIÑO",2010,1639560
"32","NARIÑO",2011,1660062
"33","NARIÑO",2012,1680795
"34","NARIÑO",2013,1701782
"35","NARIÑO",2014,1722945
"36","CASANARE",2010,325621
"37","CASANARE",2011,331734
"38","CASANARE",2012,337886
"39","CASANARE",2013,344040
"40","CASANARE",2014,350239
"41","SAN ANDRES Y PROVIDENCIA",2010,73320
"42","SAN ANDRES Y PROVIDENCIA",2011,73925
"43","SAN ANDRES Y PROVIDENCIA",2012,74541
"44","SAN ANDRES Y PROVIDENCIA",2013,75167
"45","SAN ANDRES Y PROVIDENCIA",2014,75801
"46","ARAUCA",2010,247541
"47","ARAUCA",2011,250569
"48","ARAUCA",2012,253565
"49","ARAUCA",2013,256527
"50","ARAUCA",2014,259447
"51","SANTANDER",2010,2010393
"52","SANTANDER",2011,2020604
"53","SANTANDER",2012,2030775
"54","SANTANDER",2013,2040932
"55","SANTANDER",2014,2051022
"56","CAUCA",2010,1319120
"57","CAUCA",2011,1330756
"58","CAUCA",2012,1342650
"59","CAUCA",2013,1354733
"60","CAUCA",2014,1366984
"61","SUCRE",2010,810664
"62","SUCRE",2011,818689
"63","SUCRE",2012,826780
"64","SUCRE",2013,834937
"65","SUCRE",2014,843202
"66","CESAR",2010,966450
"67","CESAR",2011,979054
"68","CESAR",2012,991584
"69","CESAR",2013,1004058
"70","CESAR",2014,1016533
"71","HUILA",2010,1083189
"72","HUILA",2011,1097584
"73","HUILA",2012,1111947
"74","HUILA",2013,1126316
"75","HUILA",2014,1140539
"76","BOLIVAR",2010,1980012
"77","BOLIVAR",2011,2002531
"78","BOLIVAR",2012,2025573
"79","BOLIVAR",2013,2049109
"80","BOLIVAR",2014,2073004
"81","ATLANTICO",2010,2314460
"82","ATLANTICO",2011,2344077
"83","ATLANTICO",2012,2373550
"84","ATLANTICO",2013,2402910
"85","ATLANTICO",2014,2432003
"86","LA GUAJIRA",2010,818740
"87","LA GUAJIRA",2011,846641
"88","LA GUAJIRA",2012,874532
"89","LA GUAJIRA",2013,902367
"90","LA GUAJIRA",2014,930143
"91","META",2010,870921
"92","META",2011,888802
"93","META",2012,906805
"94","META",2013,924871
"95","META",2014,943072
"96","CAQUETA",2010,447767
"97","CAQUETA",2011,453588
"98","CAQUETA",2012,459515
"99","CAQUETA",2013,465487
"100","CAQUETA",2014,471541
"101","QUINDIO",2010,549662
"102","QUINDIO",2011,552755
"103","QUINDIO",2012,555836
"104","QUINDIO",2013,558969
"105","QUINDIO",2014,562114
"106","GUAVIARE",2010,103307
"107","GUAVIARE",2011,104846
"108","GUAVIARE",2012,106386
"109","GUAVIARE",2013,107934
"110","GUAVIARE",2014,109490
"111","RISARALDA",2010,925117
"112","RISARALDA",2011,930518
"113","RISARALDA",2012,935910
"114","RISARALDA",2013,941275
"115","RISARALDA",2014,946632
"116","AMAZONAS",2010,72017
"117","AMAZONAS",2011,72858
"118","AMAZONAS",2012,73699
"119","AMAZONAS",2013,74541
"120","AMAZONAS",2014,75388
"121","BOYACA",2010,1267652
"122","BOYACA",2011,1269405
"123","BOYACA",2012,1271133
"124","BOYACA",2013,1272855
"125","BOYACA",2014,1274615
"126","MAGDALENA",2010,1201501
"127","MAGDALENA",2011,1212559
"128","MAGDALENA",2012,1223875
"129","MAGDALENA",2013,1235532
"130","MAGDALENA",2014,1247514
"131","GUAINIA",2010,38328
"132","GUAINIA",2011,38949
"133","GUAINIA",2012,39574
"134","GUAINIA",2013,40203
"135","GUAINIA",2014,40839
"136","VALLE DEL CAUCA",2010,4383277
"137","VALLE DEL CAUCA",2011,4428675
"138","VALLE DEL CAUCA",2012,4474369
"139","VALLE DEL CAUCA",2013,4520480
"140","VALLE DEL CAUCA",2014,4566875
"141","ANTIOQUIA",2010,6066003
"142","ANTIOQUIA",2011,6143809
"143","ANTIOQUIA",2012,6221817
"144","ANTIOQUIA",2013,6299990
"145","ANTIOQUIA",2014,6378132
"146","VICHADA",2010,63670
"147","VICHADA",2011,65282
"148","VICHADA",2012,66917
"149","VICHADA",2013,68575
"150","VICHADA",2014,70260
"151","CHOCO",2010,476149
"152","CHOCO",2011,480820
"153","CHOCO",2012,485543
"154","CHOCO",2013,490317
"155","CHOCO",2014,495151
"156","CUNDINAMARCA",2010,2477036
"157","CUNDINAMARCA",2011,2517215
"158","CUNDINAMARCA",2012,2557623
"159","CUNDINAMARCA",2013,2598245
"160","CUNDINAMARCA",2014,2639059
"161","TOLIMA",2010,1387621
"162","TOLIMA",2011,1391876
"163","TOLIMA",2012,1396038
"164","TOLIMA",2013,1400140
"165","TOLIMA",2014,1404262
