DEPARTAMENTO,NIVEL DE FORMACION,2010,2011*,2012*,2013*,2014
ATLANTICO,FORMACION TECNICA PROFESIONAL,483,422,1.654,823,576
ATLANTICO,TECNOLOGICA,746,2.808,2.615,2.605,3.099
ATLANTICO,UNIVERSITARIA,7.358,7.722,8.104,8.644,7.888
ATLANTICO,ESPECIALIZACION,2.041,2.324,2.853,2.536,2.256
ATLANTICO,MAESTRIA,222,336,611,505,554
ATLANTICO,DOCTORADO,0,2,7,11,4
BOLIVAR,FORMACION TECNICA PROFESIONAL,344,389,270,556,282
BOLIVAR,TECNOLOGICA,935,2.572,3.513,3.585,3.346
BOLIVAR,UNIVERSITARIA,3.325,3.378,4.586,4.952,4.228
BOLIVAR,ESPECIALIZACION,636,1.003,1.339,1.364,1.168
BOLIVAR,MAESTRIA,22,20,55,114,69
BOLIVAR,DOCTORADO,2,1,3,1,5
CESAR,FORMACION TECNICA PROFESIONAL,54,23,40,39,27
CESAR,TECNOLOGICA,44,836,928,1.025,1.265
CESAR,UNIVERSITARIA,1.836,2.368,2.140,2.012,1.841
CESAR,ESPECIALIZACION,200,111,401,282,260
CESAR,MAESTRIA,1,0,8,9,9
CESAR,DOCTORADO,1,0,2,0,0
CORDOBA,FORMACION TECNICA PROFESIONAL,121,171,160,233,183
CORDOBA,TECNOLOGICA,94,538,545,766,937
CORDOBA,UNIVERSITARIA,1.980,1.859,2.487,3.507,3.182
CORDOBA,ESPECIALIZACION,106,72,169,455,638
CORDOBA,MAESTRIA,11,6,8,51,66
GUAJIRA,FORMACION TECNICA PROFESIONAL,106,156,241,133,126
GUAJIRA,TECNOLOGICA,7,327,825,634,523
GUAJIRA,UNIVERSITARIA,1.167,812,837,823,840
GUAJIRA,ESPECIALIZACION,23,56,38,50,112
GUAJIRA,MAESTRIA,0,0,0,0,11
MAGDALENA,FORMACION TECNICA PROFESIONAL,287,318,398,449,507
MAGDALENA,TECNOLOGICA,110,1.067,1.362,1.429,1.511
MAGDALENA,UNIVERSITARIA,2.026,2.332,3.154,3.281,3.169
MAGDALENA,ESPECIALIZACION,541,533,614,771,667
MAGDALENA,MAESTRIA,11,20,25,48,43
SAN ANDRES Y PROVIDENCIA,FORMACION TECNICA PROFESIONAL,23,11,10,18,0
SAN ANDRES Y PROVIDENCIA,TECNOLOGICA,0,124,181,107,155
SAN ANDRES Y PROVIDENCIA,UNIVERSITARIA,0,0,18,0,13
SAN ANDRES Y PROVIDENCIA,ESPECIALIZACION,0,2,0,2,19
SAN ANDRES Y PROVIDENCIA,MAESTRIA,0,12,1,4,3
SUCRE,FORMACION TECNICA PROFESIONAL,767,132,889,141,475
SUCRE,TECNOLOGICA,122,461,515,528,454
SUCRE,UNIVERSITARIA,1.589,1.422,1.457,1.833,1.326
SUCRE,ESPECIALIZACION,544,557,543,644,250
SUCRE,MAESTRIA,1,0,0,0,0
BOGOTA DC,FORMACION TECNICA PROFESIONAL,9.312,11.988,7.886,7.370,5.284
BOGOTA DC,TECNOLOGICA,5.904,18.012,20.360,25.120,24.368
BOGOTA DC,UNIVERSITARIA,39.967,43.277,49.806,52.530,52.704
BOGOTA DC,ESPECIALIZACION,29.883,32.185,31.135,25.480,23.943
BOGOTA DC,MAESTRIA,3.064,4.079,4.778,4.631,5.260
BOGOTA DC,DOCTORADO,101,113,137,134,175
BOYACA,FORMACION TECNICA PROFESIONAL,834,106,780,365,446
BOYACA,TECNOLOGICA,264,1.880,2.158,2.288,2.553
BOYACA,UNIVERSITARIA,3.367,3.885,4.127,4.190,4.476
BOYACA,ESPECIALIZACION,2.460,4.048,3.649,3.725,6.296
BOYACA,MAESTRIA,41,119,137,169,191
BOYACA,DOCTORADO,5,1,4,2,3
CUNDINAMARCA,FORMACION TECNICA PROFESIONAL,805,92,2.165,1.758,644
CUNDINAMARCA,TECNOLOGICA,1.614,5.764,5.293,5.784,7.033
CUNDINAMARCA,UNIVERSITARIA,2.218,2.421,2.544,3.018,2.599
CUNDINAMARCA,ESPECIALIZACION,1.084,981,1.265,991,1.203
CUNDINAMARCA,MAESTRIA,210,194,290,352,278
CUNDINAMARCA,DOCTORADO,0,0,0,0,2
NORTE DE SANTANDER,FORMACION TECNICA PROFESIONAL,7,45,34,171,126
NORTE DE SANTANDER,TECNOLOGICA,774,1.962,2.007,2.295,2.307
NORTE DE SANTANDER,UNIVERSITARIA,3.897,5.686,8.297,9.266,6.858
NORTE DE SANTANDER,ESPECIALIZACION,1.664,1.101,939,993,899
NORTE DE SANTANDER,MAESTRIA,44,44,65,96,100
SANTANDER,FORMACION TECNICA PROFESIONAL,1.502,488,1.014,546,665
SANTANDER,TECNOLOGICA,2.025,5.329,6.111,6.036,6.207
SANTANDER,UNIVERSITARIA,6.081,6.803,7.602,7.973,9.276
SANTANDER,ESPECIALIZACION,2.214,5.400,10.228,7.178,6.155
SANTANDER,MAESTRIA,192,260,415,423,354
SANTANDER,DOCTORADO,9,11,10,3,5
AMAZONAS,FORMACION TECNICA PROFESIONAL,0,11,53,51,0
AMAZONAS,TECNOLOGICA,0,107,56,35,74
AMAZONAS,UNIVERSITARIA,1,21,22,35,31
AMAZONAS,ESPECIALIZACION,3,18,3,5,3
AMAZONAS,MAESTRIA,13,12,5,11,7
CAQUETA,FORMACION TECNICA PROFESIONAL,23,106,76,69,33
CAQUETA,TECNOLOGICA,20,154,224,271,203
CAQUETA,UNIVERSITARIA,929,795,836,924,829
CAQUETA,ESPECIALIZACION,166,77,153,199,110
CAQUETA,MAESTRIA,9,12,39,33,18
HUILA,FORMACION TECNICA PROFESIONAL,134,172,137,151,122
HUILA,TECNOLOGICA,160,1.284,1.510,1.549,1.829
HUILA,UNIVERSITARIA,1.561,2.137,2.347,2.723,2.472
HUILA,ESPECIALIZACION,445,666,661,443,548
HUILA,MAESTRIA,0,31,35,30,24
PUTUMAYO,FORMACION TECNICA PROFESIONAL,0,21,5,3,4
PUTUMAYO,TECNOLOGICA,93,500,594,548,489
PUTUMAYO,UNIVERSITARIA,59,57,168,126,160
PUTUMAYO,ESPECIALIZACION,73,7,69,38,11
TOLIMA,FORMACION TECNICA PROFESIONAL,1.318,762,1.396,1.336,1.092
TOLIMA,TECNOLOGICA,1.075,2.787,2.703,3.141,3.771
TOLIMA,UNIVERSITARIA,3.499,4.113,5.304,4.900,5.017
TOLIMA,ESPECIALIZACION,1.590,804,892,991,980
TOLIMA,MAESTRIA,56,31,153,114,118
TOLIMA,DOCTORADO,0,1,1,1,1
ANTIOQUIA,FORMACION TECNICA PROFESIONAL,1.726,1.296,1.764,1.466,553
ANTIOQUIA,TECNOLOGICA,5.683,13.873,16.335,19.400,17.892
ANTIOQUIA,UNIVERSITARIA,15.594,17.745,20.150,19.159,19.995
ANTIOQUIA,ESPECIALIZACION,5.408,6.268,7.535,7.259,6.825
ANTIOQUIA,MAESTRIA,821,1.090,1.508,1.422,1.814
ANTIOQUIA,DOCTORADO,57,92,103,96,87
CALDAS,FORMACION TECNICA PROFESIONAL,65,176,840,785,542
CALDAS,TECNOLOGICA,509,2.049,2.020,2.192,2.825
CALDAS,UNIVERSITARIA,3.056,2.549,3.687,3.537,3.214
CALDAS,ESPECIALIZACION,2.303,1.662,1.874,1.235,1.140
CALDAS,MAESTRIA,403,317,637,925,637
CALDAS,DOCTORADO,9,16,22,24,28
QUINDIO,FORMACION TECNICA PROFESIONAL,252,427,343,302,322
QUINDIO,TECNOLOGICA,413,1.317,1.403,1.403,1.485
QUINDIO,UNIVERSITARIA,1.839,2.233,1.954,2.618,2.550
QUINDIO,ESPECIALIZACION,158,174,265,382,385
QUINDIO,MAESTRIA,8,13,23,39,59
QUINDIO,DOCTORADO,0,0,0,2,2
RISARALDA,FORMACION TECNICA PROFESIONAL,133,153,157,180,237
RISARALDA,TECNOLOGICA,483,1.562,1.987,1.996,1.744
RISARALDA,UNIVERSITARIA,2.058,2.240,3.143,3.203,3.809
RISARALDA,ESPECIALIZACION,603,552,798,878,788
RISARALDA,MAESTRIA,142,148,245,207,246
RISARALDA,DOCTORADO,0,1,8,5,10
ARAUCA,FORMACION TECNICA PROFESIONAL,45,130,16,15,3
ARAUCA,TECNOLOGICA,0,142,173,219,279
ARAUCA,UNIVERSITARIA,65,71,159,170,281
ARAUCA,ESPECIALIZACION,0,0,0,1,40
CASANARE,FORMACION TECNICA PROFESIONAL,0,10,3,0,30
CASANARE,TECNOLOGICA,29,381,329,461,489
CASANARE,UNIVERSITARIA,343,248,333,394,588
CASANARE,ESPECIALIZACION,2,2,24,60,62
GUAINIA,FORMACION TECNICA PROFESIONAL,0,3,2,6,0
GUAINIA,TECNOLOGICA,0,16,110,81,67
GUAINIA,UNIVERSITARIA,5,0,15,9,5
GUAINIA,ESPECIALIZACION,0,0,0,2,2
GUAVIARE,FORMACION TECNICA PROFESIONAL,0,2,3,0,0
GUAVIARE,TECNOLOGICA,10,88,121,242,147
GUAVIARE,UNIVERSITARIA,81,6,17,25,12
GUAVIARE,ESPECIALIZACION,0,2,3,17,22
META,FORMACION TECNICA PROFESIONAL,733,69,714,269,308
META,TECNOLOGICA,202,1.127,992,1.130,1.146
META,UNIVERSITARIA,1.659,1.691,2.114,2.516,2.531
META,ESPECIALIZACION,399,599,661,626,610
META,MAESTRIA,7,7,2,3,15
VAUPES,FORMACION TECNICA PROFESIONAL,0,1,0,0,0
VAUPES,TECNOLOGICA,0,56,15,46,47
VAUPES,UNIVERSITARIA,5,0,0,0,0
VAUPES,ESPECIALIZACION,0,0,0,7,0
VICHADA,FORMACION TECNICA PROFESIONAL,0,21,2,4,0
VICHADA,TECNOLOGICA,1,37,64,110,130
VICHADA,UNIVERSITARIA,28,7,11,17,10
VICHADA,ESPECIALIZACION,0,2,1,2,15
CAUCA,FORMACION TECNICA PROFESIONAL,1,26,42,22,48
CAUCA,TECNOLOGICA,223,1.667,2.513,2.077,2.307
CAUCA,UNIVERSITARIA,2.020,2.227,2.348,2.398,2.460
CAUCA,ESPECIALIZACION,407,410,389,571,493
CAUCA,MAESTRIA,15,39,26,30,36
CAUCA,DOCTORADO,1,0,4,7,4
CHOCO,FORMACION TECNICA PROFESIONAL,1,0,148,133,0
CHOCO,TECNOLOGICA,4,211,377,267,247
CHOCO,UNIVERSITARIA,1.123,1.675,1.585,1.214,1.608
CHOCO,ESPECIALIZACION,243,54,240,188,117
CHOCO,MAESTRIA,4,5,6,10,14
NARIÑO,FORMACION TECNICA PROFESIONAL,71,88,75,50,88
NARIÑO,TECNOLOGICA,485,977,1.063,1.625,1.792
NARIÑO,UNIVERSITARIA,2.471,2.463,2.911,3.438,3.211
NARIÑO,ESPECIALIZACION,493,570,591,606,835
NARIÑO,MAESTRIA,85,41,86,99,181
NARIÑO,DOCTORADO,3,0,2,0,7
VALLE DEL CAUCA,FORMACION TECNICA PROFESIONAL,653,1.135,2.021,1.816,1.638
VALLE DEL CAUCA,TECNOLOGICA,2.942,6.893,8.229,8.826,8.964
VALLE DEL CAUCA,UNIVERSITARIA,9.465,10.609,11.300,12.245,11.424
VALLE DEL CAUCA,ESPECIALIZACION,1.967,2.922,2.883,3.301,2.597
VALLE DEL CAUCA,MAESTRIA,552,833,1.102,1.264,1.235
VALLE DEL CAUCA,DOCTORADO,23,38,36,44,59